Date,sp500,sbux,msft,nord,boeing
1-Oct-98,1098.67,10.85,26.24,25.16,34.63
2-Nov-98,1163.63,11.53,30.23,34.4,37.59
1-Dec-98,1229.23,14.03,34.37,32.03,30.19
4-Jan-99,1279.64,13.02,43.37,38.44,32.09
1-Feb-99,1238.33,13.22,37.2,37.24,33.09
1-Mar-99,1286.37,14.03,44.42,37.82,31.57
1-Apr-99,1335.18,18.47,40.3,32.56,37.73
3-May-99,1301.84,18.44,39.99,32.93,39.18
1-Jun-99,1372.71,18.78,44.7,31.07,40.99
1-Jul-99,1328.72,11.62,42.53,29.16,42.28
2-Aug-99,1320.41,11.44,45.87,26.32,42.34
1-Sep-99,1282.71,12.39,44.88,25.11,39.83
1-Oct-99,1362.93,13.6,45.87,23.19,43.04
1-Nov-99,1388.91,13.28,45.13,25.94,38.09
1-Dec-99,1469.25,12.12,57.86,24.54,38.85
3-Jan-00,1394.46,16,48.51,20.52,41.71
1-Feb-00,1366.42,17.57,44.29,19.96,34.75
1-Mar-00,1498.58,22.41,52.66,27.62,35.56
3-Apr-00,1452.43,15.11,34.57,26.04,37.33
1-May-00,1420.6,17,31.01,23.61,36.88
1-Jun-00,1454.6,19.09,39.65,22.67,39.47
3-Jul-00,1430.83,18.75,34.6,16.45,46.08
1-Aug-00,1517.68,18.32,34.6,17,50.79
1-Sep-00,1436.51,20.03,29.89,14.7,61.07
2-Oct-00,1429.4,22.34,34.13,15.53,64.2
1-Nov-00,1314.95,22.78,28.44,15.25,65.53
1-Dec-00,1320.28,22.12,21.5,17.27,62.62
2-Jan-01,1366.01,24.97,30.26,19.36,55.51
1-Feb-01,1239.94,23.82,29.24,17.6,59.19
1-Mar-01,1160.33,21.22,27.11,15.53,53.02
2-Apr-01,1249.46,19.35,33.58,17.55,58.81
1-May-01,1255.82,19.52,34.29,17.77,60.01
1-Jun-01,1224.38,23,36.18,17.79,53.05
2-Jul-01,1211.23,18.04,32.8,21.57,55.85
1-Aug-01,1133.58,16.87,28.27,19.31,49
4-Sep-01,1040.94,14.94,25.36,13.92,32.06
1-Oct-01,1059.78,17.12,28.82,13.58,31.2
1-Nov-01,1139.45,17.72,31.82,18.31,33.77
3-Dec-01,1148.08,19.05,32.83,19.57,37.31
2-Jan-02,1130.2,23.77,31.58,24.48,39.39
1-Feb-02,1106.73,23.01,28.91,24.72,44.4
1-Mar-02,1147.39,23.13,29.89,23.79,46.61
1-Apr-02,1076.92,22.82,25.9,22.78,43.08
1-May-02,1067.14,24.28,25.23,23.99,41.35
3-Jun-02,989.82,24.85,27.11,22.07,43.63
1-Jul-02,911.62,19.63,23.78,18.42,40.26
1-Aug-02,916.07,20.1,24.32,18.94,36.11
3-Sep-02,815.28,20.66,21.68,17.57,33.24
1-Oct-02,885.76,23.84,26.5,19.51,28.98
1-Nov-02,936.31,21.74,28.59,19.69,33.35
2-Dec-02,879.82,20.38,25.62,18.68,32.31
2-Jan-03,855.7,22.72,23.52,17.76,30.94
3-Feb-03,841.15,23.45,23.57,16.85,27.14
3-Mar-03,848.18,25.76,24.07,16.04,24.68
1-Apr-03,916.92,23.51,25.43,17.16,26.86
1-May-03,963.59,24.67,24.47,18.57,30.37
2-Jun-03,974.5,24.55,25.5,19.44,33.99
1-Jul-03,990.31,27.33,26.26,21.02,32.8
1-Aug-03,1008.01,28.39,26.37,26.07,37.22
2-Sep-03,995.97,28.8,27.64,24.81,34.18
1-Oct-03,1050.71,31.6,26.14,30.49,38.32
